ID,Name,Surname,Category,Interests,Mentor_ID,Rating
111,Elif,Şahin,Hukuk,"Anayasa Hukuku ve İnsan Hakları, Çevre Hukuku ve Enerji Hukuku, Uluslararası Hukuk ve Diplomasi",36327,1
112,Emre,Çelik,Hukuk,"Uluslararası Hukuk ve Diplomasi, Ceza Hukuku ve Adli Yargı, Anayasa Hukuku ve İnsan Hakları",26094,5
113,Emre,Öztürk,Teknoloji,"Web Geliştirme, Bulut Bilişim ve Büyük Veri, Yazılım Geliştirme",24104,3
114,Elif,Şahin,Yemek,"Kafein Kültürü, Izgara Yemekler, Deniz Ürünleri",39816,4
115,Fatma,Şahin,Sağlık,"Psikoloji, Yoga, Meditasyon",23317,1
116,Veli,Demir,Sanat,"Resim ve Çizim, Film Yapımı ve Sinematografi, Moda Tasarımı",37885,1
117,Emre,Çelik,Sanat,"Dans ve Performans Sanatları, Fotoğrafçılık, Moda Tasarımı",27331,5
118,Yusuf,Çelik,Sağlık,"Diyet, Yoga, Bitkisel Tedaviler",32606,5
119,Yusuf,Şahin,Mimar,"Mimari Teori ve Eleştiri, İç Mekan Tasarımı, Ulaşım ve Altyapı Tasarımı",38904,5
120,Ali,Aydın,Sanat,"Tiyatro ve Drama, Dans ve Performans Sanatları, Moda Tasarımı",39876,4
121,Ahmet,Karaduman,Sanat,"Moda Tasarımı, Grafik Tasarım, Film Yapımı ve Sinematografi",34400,1
122,Ahmet,Yılmaz,Spor,"Futbol, Bisiklet, Pilates",34032,3
123,Ayşe,Yılmaz,Edebiyat,"Tiyatro, Çocuk Edebiyatı, Tarih",34685,3
124,Emre,Kaya,Müzik,"Elektronik Müzik, Rap, Pop Müzik",39555,5
125,Ahmet,Aydın,Teknoloji,"Oyun Geliştirme, Bulut Bilişim ve Büyük Veri, Veri Bilimi ve Analitik",22277,5
126,Ahmet,Öztürk,Sağlık,"Yoga, Meditasyon, Diyet",34004,4
127,Veli,Çelik,Teknoloji,"Web Geliştirme, Otomasyon ve Robotik, Veri Bilimi ve Analitik",34612,5
128,Mehmet,Demir,Sağlık,"Yoga, Psikoloji, Diyet",27466,2
129,Veli,Kaya,Mimar,"İç Mekan Tasarımı, Restorasyon, Peyzaj Tasarımı",23947,1
130,Mehmet,Kaya,Spor,"Tenis, Yüzme, Voleybol",39130,3
131,Fatma,Aydın,Edebiyat,"Bilim Kurgu, Tarih, Şiir",22924,3
132,Seda,Kılıç,Sağlık,"Bitkisel Tedaviler, Meditasyon, Yoga",22157,2
133,Elif,Demir,Yemek,"Kafein Kültürü, İtalyan Mutfağı, Deniz Ürünleri",35693,4
134,Emre,Demir,Müzik,"Halk Müziği, Rap, Rock Müzik",33656,3
135,Seda,Yıldız,Spor,"Tenis, Basketbol, Pilates",28182,3
136,Elif,Öztürk,Sanat,"Tiyatro ve Drama, Dans ve Performans Sanatları, Fotoğrafçılık",20112,4
137,Ali,Yıldız,Sanat,"Fotoğrafçılık, Moda Tasarımı, Resim ve Çizim",21291,2
138,Ahmet,Kılıç,Edebiyat,"Bilim Kurgu, Tiyatro, Felsefe",30172,2
139,Fatma,Kaya,Edebiyat,"Şiir, Makale, Tiyatro",21412,1
140,Ali,Kılıç,Mimar,"Parklar, Peyzaj Tasarımı, Endüstriyel Tasarım",32495,3
141,Fatma,Kılıç,Hukuk,"İş Hukuku ve İşçi Hakları, İdare Hukuku ve Vergilendirme, Ceza Hukuku ve Adli Yargı",28794,1
142,Ahmet,Kaya,Sanat,"Fotoğrafçılık, Film Yapımı ve Sinematografi, Moda Tasarımı",30840,1
143,Yusuf,Aydın,Sağlık,"Psikoloji, Bitkisel Tedaviler, Yoga",26393,4
144,Mehmet,Çelik,Edebiyat,"Fantastik Kurgu, Biyografi, Roman Yazımı",22819,4
145,Ayşe,Yıldız,Teknoloji,"Oyun Geliştirme, Web Geliştirme, Yapay Zeka ve Makine Öğrenimi",33262,5
146,Ayşe,Yılmaz,Yemek,"Tatlı, İtalyan Mutfağı, Geleneksel Mutfaklar",23032,5
147,Fatma,Karaduman,Hukuk,"Uluslararası Hukuk ve Diplomasi, Çevre Hukuku ve Enerji Hukuku, Anayasa Hukuku ve İnsan Hakları",28108,1
148,Mehmet,Demir,Edebiyat,"Tarih, Şiir, Biyografi",20377,3
149,Emre,Kaya,Teknoloji,"Bulut Bilişim ve Büyük Veri, Web Geliştirme, İnternet of Things (IoT)",36549,5
150,Fatma,Yılmaz,Hukuk,"Gayrimenkul ve Emlak Hukuku, Medeni Hukuk ve Aile Hukuku, Ticaret ve Şirket Hukuku",37924,2
151,Yusuf,Demir,Edebiyat,"Deneme, Fantastik Kurgu, Tarih",28990,4
152,Mehmet,Yılmaz,Mimar,"İç Mekan Tasarımı, Yapı Teknolojileri ve Malzemeler, Ulaşım ve Altyapı Tasarımı",28089,1
153,Mehmet,Çelik,Sağlık,"Diyet, Yoga, Bitkisel Tedaviler",37422,2
154,Ahmet,Kılıç,Müzik,"Elektronik Müzik, Klasik Müzik, Halk Müziği",22302,2
155,Mehmet,Şahin,Yemek,"Izgara Yemekler, Tatlı, İtalyan Mutfağı",31086,3
156,Veli,Kılıç,Mimar,"Yapı Teknolojileri ve Malzemeler, Mimari Teori ve Eleştiri, Peyzaj Tasarımı",39392,1
157,Yusuf,Karaduman,Sanat,"Grafik Tasarım, Tiyatro ve Drama, Film Yapımı ve Sinematografi",39824,3
158,Ayşe,Demir,Sağlık,"Bitkisel Tedaviler, Yoga, Diyet",34454,4
159,Emre,Çelik,Sağlık,"Psikoloji, Yoga, Meditasyon",34643,3
160,Ali,Şahin,Müzik,"Rap, Elektronik Müzik, Metal Müzik",27413,4
161,Elif,Yılmaz,Sağlık,"Diyet, Bitkisel Tedaviler, Meditasyon",39864,1
162,Ayşe,Yılmaz,Hukuk,"Gayrimenkul ve Emlak Hukuku, Uluslararası Hukuk ve Diplomasi, İdare Hukuku ve Vergilendirme",36953,3
163,Veli,Demir,Edebiyat,"Fantastik Kurgu, Felsefe, Tarih",34983,3
164,Yusuf,Aydın,Sağlık,"Bitkisel Tedaviler, Psikoloji, Meditasyon",25949,2
165,Seda,Öztürk,Sanat,"Film Yapımı ve Sinematografi, Dans ve Performans Sanatları, Moda Tasarımı",37668,2
166,Veli,Yılmaz,Sanat,"Moda Tasarımı, Resim ve Çizim, Tiyatro ve Drama",36522,2
167,Veli,Demir,Yemek,"Geleneksel Mutfaklar, Fransız Mutfağı, Vejetaryen Mutfak",22507,2
168,Ayşe,Yıldız,Müzik,"Rap, Metal Müzik, Elektronik Müzik",20290,4
169,Ahmet,Kılıç,Sanat,"Tiyatro ve Drama, Moda Tasarımı, Film Yapımı ve Sinematografi",23951,4
170,Ahmet,Çelik,Yemek,"Izgara Yemekler, Fransız Mutfağı, İtalyan Mutfağı",22053,3
171,Yusuf,Aydın,Edebiyat,"Çocuk Edebiyatı, Tiyatro, Deneme",34753,2
172,Mehmet,Şahin,Teknoloji,"İnternet of Things (IoT), Yapay Zeka ve Makine Öğrenimi, Oyun Geliştirme",22487,2
173,Ali,Çelik,Müzik,"Klasik Müzik, Halk Müziği, Jazz Müzik",36881,3
174,Ayşe,Kılıç,Sanat,"Fotoğrafçılık, Tiyatro ve Drama, Dans ve Performans Sanatları",38802,1
175,Ayşe,Öztürk,Hukuk,"Ticaret ve Şirket Hukuku, İdare Hukuku ve Vergilendirme, Ceza Hukuku ve Adli Yargı",36972,5
176,Elif,Şahin,Edebiyat,"Tiyatro, Çocuk Edebiyatı, Deneme",30999,3
177,Veli,Öztürk,Müzik,"Rock Müzik, Pop Müzik, Metal Müzik",28775,1
178,Elif,Yıldız,Müzik,"Metal Müzik, Rock Müzik, Halk Müziği",35540,2
179,Veli,Aydın,Sağlık,"Psikoloji, Meditasyon, Yoga",28697,5
180,Elif,Karaduman,Teknoloji,"Otomasyon ve Robotik, Oyun Geliştirme, Siber Güvenlik",25118,3
181,Ali,Öztürk,Teknoloji,"Siber Güvenlik, Yapay Zeka ve Makine Öğrenimi, İnternet of Things (IoT)",24149,4
182,Elif,Aydın,Edebiyat,"Tiyatro, Deneme, Makale",39057,2
183,Fatma,Kaya,Sanat,"Resim ve Çizim, Moda Tasarımı, Tiyatro ve Drama",22824,2
184,Ali,Demir,Spor,"Futbol, Basketbol, Yüzme",28672,4
185,Ali,Şahin,Edebiyat,"Bilim Kurgu, Fantastik Kurgu, Şiir",22795,2
186,Seda,Yıldız,Yemek,"Fransız Mutfağı, Deniz Ürünleri, İtalyan Mutfağı",25909,4
187,Ahmet,Demir,Müzik,"Pop Müzik, Metal Müzik, Halk Müziği",28829,5
188,Fatma,Yılmaz,Mimar,"Restorasyon, Ofis Yapıları, Yapı Teknolojileri ve Malzemeler",34664,4
189,Yusuf,Öztürk,Mimar,"Restorasyon, Peyzaj Tasarımı, Parklar",25388,3
190,Ayşe,Karaduman,Yemek,"Tatlı, Moleküler Gastronomi, Geleneksel Mutfaklar",25247,2
191,Seda,Yıldız,Sağlık,"Meditasyon, Psikoloji, Diyet",35768,4
192,Elif,Demir,Hukuk,"Fikri Mülkiyet Hukuku, Gayrimenkul ve Emlak Hukuku, Çevre Hukuku ve Enerji Hukuku",21740,2
193,Emre,Şahin,Sanat,"Fotoğrafçılık, Film Yapımı ve Sinematografi, Resim ve Çizim",26717,4
194,Elif,Yılmaz,Yemek,"Kafein Kültürü, Izgara Yemekler, Fransız Mutfağı",25546,2
195,Mehmet,Şahin,Sanat,"Fotoğrafçılık, Tiyatro ve Drama, Moda Tasarımı",29938,4
196,Seda,Karaduman,Mimar,"Peyzaj Tasarımı, Parklar, Restorasyon",37472,2
197,Emre,Kılıç,Edebiyat,"Makale, Roman Yazımı, Çocuk Edebiyatı",20771,5
198,Emre,Kaya,Sağlık,"Bitkisel Tedaviler, Psikoloji, Yoga",22682,1
199,Emre,Kılıç,Sanat,"Dans ve Performans Sanatları, Fotoğrafçılık, Tiyatro ve Drama",38284,4
200,Seda,Aydın,Edebiyat,"Fantastik Kurgu, Çocuk Edebiyatı, Bilim Kurgu",29430,4
201,Veli,Demir,Sağlık,"Psikoloji, Diyet, Bitkisel Tedaviler",26922,5
202,Seda,Aydın,Sağlık,"Psikoloji, Meditasyon, Bitkisel Tedaviler",24575,1
203,Ali,Şahin,Spor,"Basketbol, Fitness, Tenis",22165,1
204,Elif,Şahin,Yemek,"Fransız Mutfağı, Moleküler Gastronomi, Tatlı",39690,1
205,Seda,Karaduman,Hukuk,"İdare Hukuku ve Vergilendirme, Uluslararası Hukuk ve Diplomasi, Anayasa Hukuku ve İnsan Hakları",29931,4
206,Veli,Demir,Sağlık,"Yoga, Psikoloji, Bitkisel Tedaviler",39240,1
207,Mehmet,Karaduman,Teknoloji,"Otomasyon ve Robotik, Oyun Geliştirme, İnternet of Things (IoT)",27274,3
208,Seda,Karaduman,Mimar,"Endüstriyel Tasarım, Parklar, Peyzaj Tasarımı",38532,2
209,Emre,Yılmaz,Sağlık,"Meditasyon, Psikoloji, Yoga",23524,5
210,Yusuf,Kaya,Sanat,"Grafik Tasarım, Fotoğrafçılık, Moda Tasarımı",25034,1
211,Ayşe,Kaya,Sanat,"Resim ve Çizim, Moda Tasarımı, Fotoğrafçılık",36550,2
212,Emre,Çelik,Sağlık,"Yoga, Meditasyon, Diyet",26756,5
213,Ali,Aydın,Mimar,"Parklar, Yapı Teknolojileri ve Malzemeler, Ulaşım ve Altyapı Tasarımı",37162,4
214,Elif,Kaya,Edebiyat,"Roman Yazımı, Fantastik Kurgu, Deneme",32016,1
215,Mehmet,Şahin,Sanat,"Grafik Tasarım, Dans ve Performans Sanatları, Fotoğrafçılık",23191,5
216,Ali,Yıldız,Hukuk,"Uluslararası Hukuk ve Diplomasi, Ceza Hukuku ve Adli Yargı, İdare Hukuku ve Vergilendirme",33230,5
217,Ayşe,Yıldız,Edebiyat,"Şiir, Biyografi, Deneme",37302,4
218,Fatma,Şahin,Spor,"Pilates, Voleybol, Yamaç Paraşütü",22068,5
219,Ali,Yılmaz,Sanat,"Dans ve Performans Sanatları, Grafik Tasarım, Fotoğrafçılık",21614,2
220,Veli,Şahin,Müzik,"Jazz Müzik, Rap, Elektronik Müzik",33193,4
221,Ali,Kılıç,Müzik,"Rap, Rock Müzik, Metal Müzik",33465,3
222,Seda,Kılıç,Edebiyat,"Biyografi, Tarih, Bilim Kurgu",35667,2
223,Ahmet,Yılmaz,Sağlık,"Meditasyon, Yoga, Psikoloji",20744,2
224,Mehmet,Karaduman,Hukuk,"İdare Hukuku ve Vergilendirme, Anayasa Hukuku ve İnsan Hakları, Gayrimenkul ve Emlak Hukuku",22138,3
225,Emre,Öztürk,Spor,"Yamaç Paraşütü, Voleybol, Fitness",22892,1
226,Fatma,Şahin,Edebiyat,"Biyografi, Bilim Kurgu, Şiir",21782,2
227,Emre,Demir,Sağlık,"Yoga, Diyet, Psikoloji",35424,4
228,Emre,Şahin,Mimar,"Yapı Teknolojileri ve Malzemeler, Peyzaj Tasarımı, Mimari Teori ve Eleştiri",34117,5
229,Seda,Şahin,Teknoloji,"Siber Güvenlik, Veri Bilimi ve Analitik, Yazılım Geliştirme",27922,1
230,Mehmet,Öztürk,Edebiyat,"Şiir, Fantastik Kurgu, Drama",29850,3
231,Mehmet,Çelik,Sağlık,"Yoga, Psikoloji, Diyet",38609,4
232,Veli,Öztürk,Edebiyat,"Deneme, Felsefe, Tiyatro",29107,1
233,Ayşe,Şahin,Sanat,"Tiyatro ve Drama, Fotoğrafçılık, Dans ve Performans Sanatları",36817,2
234,Veli,Kılıç,Sanat,"Grafik Tasarım, Dans ve Performans Sanatları, Tiyatro ve Drama",31813,2
235,Fatma,Yıldız,Teknoloji,"Mobil Uygulama Geliştirme, Web Geliştirme, Otomasyon ve Robotik",34806,4
236,Fatma,Aydın,Hukuk,"İş Hukuku ve İşçi Hakları, İdare Hukuku ve Vergilendirme, Anayasa Hukuku ve İnsan Hakları",29752,2
237,Mehmet,Karaduman,Yemek,"Tatlı, Vejetaryen Mutfak, Fransız Mutfağı",38003,3
238,Mehmet,Yılmaz,Sanat,"Film Yapımı ve Sinematografi, Resim ve Çizim, Grafik Tasarım",20415,1
239,Mehmet,Kaya,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Yapı Teknolojileri ve Malzemeler, Mimari Teori ve Eleştiri",27796,2
240,Ayşe,Yılmaz,Müzik,"Halk Müziği, Jazz Müzik, Elektronik Müzik",23712,5
241,Ali,Şahin,Sağlık,"Psikoloji, Bitkisel Tedaviler, Diyet",31964,3
242,Fatma,Demir,Yemek,"Moleküler Gastronomi, Kafein Kültürü, İtalyan Mutfağı",37634,3
243,Ahmet,Şahin,Edebiyat,"Fantastik Kurgu, Şiir, Tiyatro",26322,4
244,Veli,Şahin,Hukuk,"Uluslararası Hukuk ve Diplomasi, Fikri Mülkiyet Hukuku, Ceza Hukuku ve Adli Yargı",23334,2
245,Veli,Yılmaz,Mimar,"Ofis Yapıları, Yapı Teknolojileri ve Malzemeler, Restorasyon",35729,3
