ID,Name,Surname,Category,Interests
20043,Emre,Şahin,Teknoloji,"Oyun Geliştirme, İnternet of Things (IoT), Yapay Zeka ve Makine Öğrenimi"
20044,Yusuf,Aydın,Teknoloji,"Veri Bilimi ve Analitik, Siber Güvenlik, İnternet of Things (IoT)"
20045,Ayşe,Çelik,Spor,"Fitness, Tenis, Yüzme"
20046,Veli,Öztürk,Teknoloji,"Veri Bilimi ve Analitik, Web Geliştirme, İnternet of Things (IoT)"
20047,Ahmet,Demir,Edebiyat,"Drama, Çocuk Edebiyatı, Tarih"
20048,Fatma,Yıldız,Müzik,"Metal Müzik, Rap, Jazz Müzik"
20049,Elif,Kaya,Teknoloji,"İnternet of Things (IoT), Yazılım Geliştirme, Otomasyon ve Robotik"
20050,Elif,Kılıç,Müzik,"Rock Müzik, Rap, Jazz Müzik"
20051,Ayşe,Karaduman,Sağlık,"Diyet, Yoga, Meditasyon"
20052,Elif,Demir,Sağlık,"Psikoloji, Bitkisel Tedaviler, Diyet"
20053,Ahmet,Öztürk,Edebiyat,"Tarih, Makale, Deneme"
20054,Emre,Şahin,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Anayasa Hukuku ve İnsan Hakları, İdare Hukuku ve Vergilendirme"
20055,Elif,Yılmaz,Spor,"Yamaç Paraşütü, Basketbol, Tenis"
20056,Ahmet,Kılıç,Mimar,"Endüstriyel Tasarım, Peyzaj Tasarımı, Ofis Yapıları"
20057,Ayşe,Şahin,Müzik,"Metal Müzik, Rock Müzik, Elektronik Müzik"
20058,Yusuf,Şahin,Sanat,"Dans ve Performans Sanatları, Fotoğrafçılık, Film Yapımı ve Sinematografi"
20059,Ayşe,Kaya,Hukuk,"İş Hukuku ve İşçi Hakları, Ticaret ve Şirket Hukuku, Ceza Hukuku ve Adli Yargı"
20060,Veli,Kaya,Hukuk,"Anayasa Hukuku ve İnsan Hakları, Ticaret ve Şirket Hukuku, İş Hukuku ve İşçi Hakları"
20061,Ahmet,Yıldız,Sanat,"Film Yapımı ve Sinematografi, Fotoğrafçılık, Resim ve Çizim"
20062,Fatma,Öztürk,Mimar,"Ofis Yapıları, Restorasyon, Mimari Teori ve Eleştiri"
20063,Seda,Kılıç,Müzik,"Elektronik Müzik, Jazz Müzik, Rap"
20064,Ali,Demir,Sanat,"Fotoğrafçılık, Resim ve Çizim, Dans ve Performans Sanatları"
20065,Ahmet,Kılıç,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Peyzaj Tasarımı, Yapı Teknolojileri ve Malzemeler"
20066,Ayşe,Şahin,Yemek,"Vejetaryen Mutfak, Moleküler Gastronomi, Geleneksel Mutfaklar"
20067,Veli,Demir,Teknoloji,"Yazılım Geliştirme, İnternet of Things (IoT), Siber Güvenlik"
20068,Elif,Karaduman,Yemek,"İtalyan Mutfağı, Kafein Kültürü, Geleneksel Mutfaklar"
20069,Fatma,Çelik,Sağlık,"Bitkisel Tedaviler, Diyet, Psikoloji"
20070,Elif,Şahin,Mimar,"Mimari Teori ve Eleştiri, İç Mekan Tasarımı, Yeşil Bina ve Sürdürülebilirlik"
20071,Veli,Yılmaz,Sanat,"Dans ve Performans Sanatları, Fotoğrafçılık, Resim ve Çizim"
20072,Veli,Demir,Spor,"Basketbol, Futbol, Yamaç Paraşütü"
20073,Ayşe,Kılıç,Hukuk,"Çevre Hukuku ve Enerji Hukuku, İş Hukuku ve İşçi Hakları, Gayrimenkul ve Emlak Hukuku"
20074,Ali,Aydın,Sağlık,"Diyet, Yoga, Meditasyon"
20075,Veli,Öztürk,Yemek,"Moleküler Gastronomi, Geleneksel Mutfaklar, Vejetaryen Mutfak"
20076,Seda,Şahin,Hukuk,"İdare Hukuku ve Vergilendirme, Medeni Hukuk ve Aile Hukuku, Anayasa Hukuku ve İnsan Hakları"
20077,Seda,Çelik,Spor,"Bisiklet, Pilates, Yoga"
20078,Mehmet,Kılıç,Müzik,"Rap, Klasik Müzik, Halk Müziği"
20079,Veli,Yılmaz,Teknoloji,"Web Geliştirme, Otomasyon ve Robotik, Yapay Zeka ve Makine Öğrenimi"
20080,Emre,Aydın,Hukuk,"Uluslararası Hukuk ve Diplomasi, Ceza Hukuku ve Adli Yargı, Çevre Hukuku ve Enerji Hukuku"
20081,Yusuf,Yıldız,Sanat,"Resim ve Çizim, Fotoğrafçılık, Dans ve Performans Sanatları"
20082,Elif,Öztürk,Yemek,"Geleneksel Mutfaklar, Izgara Yemekler, Tatlı"
20083,Veli,Yılmaz,Sağlık,"Meditasyon, Psikoloji, Diyet"
20084,Fatma,Aydın,Edebiyat,"Tarih, Felsefe, Deneme"
20085,Ali,Öztürk,Spor,"Yoga, Bisiklet, Pilates"
20086,Veli,Çelik,Hukuk,"Uluslararası Hukuk ve Diplomasi, İdare Hukuku ve Vergilendirme, Medeni Hukuk ve Aile Hukuku"
20087,Seda,Kılıç,Müzik,"Rap, Rock Müzik, Jazz Müzik"
20088,Yusuf,Öztürk,Spor,"Fitness, Pilates, Futbol"
20089,Ali,Şahin,Müzik,"Jazz Müzik, Rock Müzik, Pop Müzik"
20090,Emre,Yılmaz,Spor,"Pilates, Yamaç Paraşütü, Voleybol"
20091,Mehmet,Karaduman,Hukuk,"Gayrimenkul ve Emlak Hukuku, Fikri Mülkiyet Hukuku, Çevre Hukuku ve Enerji Hukuku"
20092,Elif,Kaya,Mimar,"Endüstriyel Tasarım, Parklar, Ulaşım ve Altyapı Tasarımı"
20093,Yusuf,Yılmaz,Teknoloji,"Mobil Uygulama Geliştirme, İnternet of Things (IoT), Veri Bilimi ve Analitik"
20094,Ayşe,Yıldız,Mimar,"Restorasyon, Parklar, Peyzaj Tasarımı"
20095,Emre,Demir,Edebiyat,"Fantastik Kurgu, Deneme, Biyografi"
20096,Seda,Karaduman,Sağlık,"Psikoloji, Yoga, Diyet"
20097,Elif,Kaya,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Uluslararası Hukuk ve Diplomasi, Fikri Mülkiyet Hukuku"
20098,Ali,Kaya,Sanat,"Film Yapımı ve Sinematografi, Dans ve Performans Sanatları, Moda Tasarımı"
20099,Elif,Çelik,Edebiyat,"Tarih, Biyografi, Çocuk Edebiyatı"
20100,Elif,Kaya,Spor,"Pilates, Yamaç Paraşütü, Basketbol"
20101,Mehmet,Yıldız,Edebiyat,"Roman Yazımı, Tarih, Bilim Kurgu"
20102,Mehmet,Öztürk,Müzik,"Jazz Müzik, Rock Müzik, Elektronik Müzik"
20103,Fatma,Karaduman,Sanat,"Dans ve Performans Sanatları, Resim ve Çizim, Film Yapımı ve Sinematografi"
20104,Ali,Demir,Hukuk,"Ceza Hukuku ve Adli Yargı, Uluslararası Hukuk ve Diplomasi, İş Hukuku ve İşçi Hakları"
20105,Seda,Yıldız,Mimar,"Peyzaj Tasarımı, Restorasyon, Yeşil Bina ve Sürdürülebilirlik"
20106,Ayşe,Öztürk,Yemek,"Deniz Ürünleri, Moleküler Gastronomi, İtalyan Mutfağı"
20107,Seda,Kılıç,Müzik,"Halk Müziği, Pop Müzik, Klasik Müzik"
20108,Mehmet,Yılmaz,Sanat,"Resim ve Çizim, Moda Tasarımı, Fotoğrafçılık"
20109,Emre,Çelik,Sağlık,"Yoga, Diyet, Psikoloji"
20110,Mehmet,Çelik,Spor,"Yoga, Futbol, Pilates"
20111,Veli,Şahin,Yemek,"Kafein Kültürü, Vejetaryen Mutfak, Geleneksel Mutfaklar"
20112,Seda,Aydın,Sanat,"Fotoğrafçılık, Film Yapımı ve Sinematografi, Tiyatro ve Drama"
20113,Mehmet,Çelik,Mimar,"Mimari Teori ve Eleştiri, İç Mekan Tasarımı, Yapı Teknolojileri ve Malzemeler"
20114,Seda,Çelik,Yemek,"İtalyan Mutfağı, Fransız Mutfağı, Moleküler Gastronomi"
20115,Mehmet,Kaya,Yemek,"Moleküler Gastronomi, Deniz Ürünleri, Vejetaryen Mutfak"
20116,Yusuf,Karaduman,Spor,"Yamaç Paraşütü, Basketbol, Yüzme"
20117,Ayşe,Kaya,Edebiyat,"Drama, Tiyatro, Makale"
20118,Fatma,Yıldız,Müzik,"Pop Müzik, Klasik Müzik, Elektronik Müzik"
20119,Emre,Yılmaz,Spor,"Voleybol, Bisiklet, Basketbol"
20120,Yusuf,Kılıç,Yemek,"Moleküler Gastronomi, Izgara Yemekler, Deniz Ürünleri"
20121,Emre,Kılıç,Teknoloji,"Mobil Uygulama Geliştirme, Web Geliştirme, Veri Bilimi ve Analitik"
20122,Yusuf,Yıldız,Yemek,"Vejetaryen Mutfak, Geleneksel Mutfaklar, Fransız Mutfağı"
20123,Ali,Demir,Mimar,"Ulaşım ve Altyapı Tasarımı, Peyzaj Tasarımı, İç Mekan Tasarımı"
20124,Ahmet,Karaduman,Hukuk,"İş Hukuku ve İşçi Hakları, Ceza Hukuku ve Adli Yargı, Fikri Mülkiyet Hukuku"
20125,Veli,Aydın,Sağlık,"Meditasyon, Diyet, Bitkisel Tedaviler"
20126,Mehmet,Kaya,Yemek,"Geleneksel Mutfaklar, Moleküler Gastronomi, Kafein Kültürü"
20127,Elif,Yılmaz,Sağlık,"Bitkisel Tedaviler, Yoga, Meditasyon"
20128,Mehmet,Öztürk,Spor,"Tenis, Yamaç Paraşütü, Bisiklet"
20129,Yusuf,Öztürk,Teknoloji,"Otomasyon ve Robotik, Siber Güvenlik, Yazılım Geliştirme"
20130,Emre,Öztürk,Teknoloji,"Bulut Bilişim ve Büyük Veri, Oyun Geliştirme, Yapay Zeka ve Makine Öğrenimi"
20131,Ali,Aydın,Edebiyat,"Felsefe, Bilim Kurgu, Tiyatro"
20132,Ahmet,Kılıç,Edebiyat,"Makale, Deneme, Bilim Kurgu"
20133,Mehmet,Yılmaz,Spor,"Voleybol, Basketbol, Tenis"
20134,Emre,Kaya,Sanat,"Film Yapımı ve Sinematografi, Grafik Tasarım, Fotoğrafçılık"
20135,Veli,Yıldız,Sağlık,"Bitkisel Tedaviler, Diyet, Meditasyon"
20136,Ayşe,Şahin,Teknoloji,"Bulut Bilişim ve Büyük Veri, Web Geliştirme, Mobil Uygulama Geliştirme"
20137,Elif,Demir,Yemek,"Tatlı, Deniz Ürünleri, Kafein Kültürü"
20138,Ahmet,Aydın,Sanat,"Film Yapımı ve Sinematografi, Dans ve Performans Sanatları, Moda Tasarımı"
20139,Ayşe,Öztürk,Edebiyat,"Biyografi, Çocuk Edebiyatı, Bilim Kurgu"
20140,Mehmet,Kaya,Edebiyat,"Deneme, Roman Yazımı, Çocuk Edebiyatı"
20141,Ahmet,Öztürk,Spor,"Yüzme, Bisiklet, Yoga"
20142,Seda,Aydın,Spor,"Futbol, Voleybol, Pilates"
20143,Mehmet,Çelik,Spor,"Yamaç Paraşütü, Basketbol, Voleybol"
20144,Ahmet,Karaduman,Müzik,"Metal Müzik, Elektronik Müzik, Klasik Müzik"
20145,Mehmet,Yıldız,Spor,"Fitness, Futbol, Yoga"
20146,Ayşe,Yıldız,Yemek,"İtalyan Mutfağı, Kafein Kültürü, Vejetaryen Mutfak"
20147,Fatma,Kaya,Edebiyat,"Bilim Kurgu, Şiir, Roman Yazımı"
20148,Ayşe,Şahin,Spor,"Fitness, Futbol, Basketbol"
20149,Emre,Karaduman,Mimar,"Endüstriyel Tasarım, Ulaşım ve Altyapı Tasarımı, Ofis Yapıları"
20150,Veli,Öztürk,Hukuk,"Fikri Mülkiyet Hukuku, Medeni Hukuk ve Aile Hukuku, Çevre Hukuku ve Enerji Hukuku"
20151,Ali,Öztürk,Müzik,"Halk Müziği, Rock Müzik, Klasik Müzik"
20152,Fatma,Yıldız,Spor,"Basketbol, Pilates, Yüzme"
20153,Ayşe,Yılmaz,Mimar,"Restorasyon, Ulaşım ve Altyapı Tasarımı, Yapı Teknolojileri ve Malzemeler"
20154,Veli,Demir,Edebiyat,"Fantastik Kurgu, Felsefe, Drama"
20155,Ahmet,Demir,Teknoloji,"Mobil Uygulama Geliştirme, Web Geliştirme, Veri Bilimi ve Analitik"
20156,Fatma,Karaduman,Teknoloji,"Yapay Zeka ve Makine Öğrenimi, Veri Bilimi ve Analitik, İnternet of Things (IoT)"
20157,Seda,Demir,Mimar,"Restorasyon, Ofis Yapıları, Endüstriyel Tasarım"
20158,Ahmet,Yıldız,Spor,"Yüzme, Futbol, Yamaç Paraşütü"
20159,Ali,Aydın,Yemek,"Kafein Kültürü, Fransız Mutfağı, Deniz Ürünleri"
20160,Mehmet,Yıldız,Edebiyat,"Tarih, Bilim Kurgu, Çocuk Edebiyatı"
20161,Yusuf,Yıldız,Sağlık,"Diyet, Yoga, Meditasyon"
20162,Veli,Çelik,Spor,"Bisiklet, Yoga, Futbol"
20163,Ayşe,Demir,Edebiyat,"Biyografi, Deneme, Çocuk Edebiyatı"
20164,Ahmet,Kılıç,Müzik,"Jazz Müzik, Klasik Müzik, Pop Müzik"
20165,Yusuf,Çelik,Müzik,"Halk Müziği, Elektronik Müzik, Klasik Müzik"
20166,Ali,Demir,Spor,"Voleybol, Futbol, Basketbol"
20167,Seda,Şahin,Sağlık,"Yoga, Diyet, Psikoloji"
20168,Veli,Öztürk,Hukuk,"İş Hukuku ve İşçi Hakları, Uluslararası Hukuk ve Diplomasi, Fikri Mülkiyet Hukuku"
20169,Ali,Kılıç,Hukuk,"İş Hukuku ve İşçi Hakları, Gayrimenkul ve Emlak Hukuku, Fikri Mülkiyet Hukuku"
20170,Ahmet,Aydın,Yemek,"Deniz Ürünleri, Tatlı, Fransız Mutfağı"
20171,Mehmet,Karaduman,Sanat,"Dans ve Performans Sanatları, Grafik Tasarım, Resim ve Çizim"
20172,Elif,Kılıç,Edebiyat,"Çocuk Edebiyatı, Makale, Deneme"
20173,Ayşe,Aydın,Spor,"Bisiklet, Yamaç Paraşütü, Futbol"
20174,Ahmet,Demir,Teknoloji,"Veri Bilimi ve Analitik, Yapay Zeka ve Makine Öğrenimi, Mobil Uygulama Geliştirme"
20175,Emre,Öztürk,Spor,"Basketbol, Yamaç Paraşütü, Fitness"
20176,Elif,Kılıç,Sanat,"Resim ve Çizim, Moda Tasarımı, Film Yapımı ve Sinematografi"
20177,Ali,Şahin,Hukuk,"Gayrimenkul ve Emlak Hukuku, Ticaret ve Şirket Hukuku, Uluslararası Hukuk ve Diplomasi"
20178,Mehmet,Şahin,Sağlık,"Yoga, Diyet, Psikoloji"
20179,Emre,Yıldız,Yemek,"Fransız Mutfağı, Izgara Yemekler, İtalyan Mutfağı"
20180,Yusuf,Yıldız,Hukuk,"İdare Hukuku ve Vergilendirme, Ticaret ve Şirket Hukuku, İş Hukuku ve İşçi Hakları"
20181,Mehmet,Yıldız,Yemek,"Kafein Kültürü, Fransız Mutfağı, Geleneksel Mutfaklar"
20182,Emre,Demir,Sağlık,"Bitkisel Tedaviler, Psikoloji, Meditasyon"
20183,Elif,Kılıç,Sanat,"Moda Tasarımı, Resim ve Çizim, Tiyatro ve Drama"
20184,Yusuf,Öztürk,Müzik,"Pop Müzik, Elektronik Müzik, Metal Müzik"
20185,Veli,Kılıç,Mimar,"Parklar, Mimari Teori ve Eleştiri, Yapı Teknolojileri ve Malzemeler"
20186,Mehmet,Yılmaz,Spor,"Voleybol, Basketbol, Futbol"
20187,Elif,Çelik,Sağlık,"Meditasyon, Diyet, Bitkisel Tedaviler"
20188,Yusuf,Aydın,Hukuk,"Medeni Hukuk ve Aile Hukuku, İdare Hukuku ve Vergilendirme, Gayrimenkul ve Emlak Hukuku"
20189,Elif,Aydın,Yemek,"Deniz Ürünleri, Geleneksel Mutfaklar, İtalyan Mutfağı"
20190,Ahmet,Karaduman,Teknoloji,"Veri Bilimi ve Analitik, Otomasyon ve Robotik, Bulut Bilişim ve Büyük Veri"
20191,Mehmet,Demir,Teknoloji,"Veri Bilimi ve Analitik, İnternet of Things (IoT), Web Geliştirme"
20192,Ahmet,Kaya,Sağlık,"Psikoloji, Diyet, Meditasyon"
20193,Fatma,Demir,Sağlık,"Meditasyon, Yoga, Psikoloji"
20194,Yusuf,Şahin,Hukuk,"Ticaret ve Şirket Hukuku, İş Hukuku ve İşçi Hakları, Ceza Hukuku ve Adli Yargı"
20195,Ahmet,Kılıç,Edebiyat,"Bilim Kurgu, Felsefe, Deneme"
20196,Elif,Kaya,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Fikri Mülkiyet Hukuku, Medeni Hukuk ve Aile Hukuku"
20197,Ayşe,Şahin,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Yapı Teknolojileri ve Malzemeler, Mimari Teori ve Eleştiri"
20198,Ahmet,Karaduman,Hukuk,"İdare Hukuku ve Vergilendirme, Uluslararası Hukuk ve Diplomasi, İş Hukuku ve İşçi Hakları"
20199,Fatma,Öztürk,Teknoloji,"Yapay Zeka ve Makine Öğrenimi, Mobil Uygulama Geliştirme, Otomasyon ve Robotik"
20200,Ahmet,Şahin,Teknoloji,"Yapay Zeka ve Makine Öğrenimi, Siber Güvenlik, Mobil Uygulama Geliştirme"
20201,Ayşe,Kaya,Sanat,"Grafik Tasarım, Resim ve Çizim, Dans ve Performans Sanatları"
20202,Elif,Karaduman,Mimar,"Mimari Teori ve Eleştiri, Ofis Yapıları, Endüstriyel Tasarım"
20203,Ali,Demir,Yemek,"Fransız Mutfağı, Izgara Yemekler, Vejetaryen Mutfak"
20204,Elif,Kılıç,Spor,"Fitness, Bisiklet, Basketbol"
20205,Mehmet,Kaya,Hukuk,"Anayasa Hukuku ve İnsan Hakları, Medeni Hukuk ve Aile Hukuku, Ticaret ve Şirket Hukuku"
20206,Ali,Yılmaz,Sağlık,"Yoga, Psikoloji, Meditasyon"
20207,Veli,Yıldız,Sanat,"Resim ve Çizim, Tiyatro ve Drama, Dans ve Performans Sanatları"
20208,Mehmet,Aydın,Sanat,"Moda Tasarımı, Tiyatro ve Drama, Fotoğrafçılık"
20209,Ayşe,Şahin,Mimar,"Mimari Teori ve Eleştiri, Restorasyon, Endüstriyel Tasarım"
20210,Ahmet,Kaya,Yemek,"Fransız Mutfağı, İtalyan Mutfağı, Kafein Kültürü"
20211,Ali,Karaduman,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Restorasyon, Ofis Yapıları"
20212,Veli,Çelik,Edebiyat,"Çocuk Edebiyatı, Roman Yazımı, Drama"
20213,Seda,Yılmaz,Sanat,"Fotoğrafçılık, Dans ve Performans Sanatları, Film Yapımı ve Sinematografi"
20214,Yusuf,Çelik,Mimar,"Peyzaj Tasarımı, Parklar, Yeşil Bina ve Sürdürülebilirlik"
20215,Ali,Demir,Mimar,"İç Mekan Tasarımı, Restorasyon, Ofis Yapıları"
20216,Seda,Öztürk,Yemek,"Izgara Yemekler, Fransız Mutfağı, Geleneksel Mutfaklar"
20217,Ayşe,Öztürk,Hukuk,"Fikri Mülkiyet Hukuku, Gayrimenkul ve Emlak Hukuku, Ceza Hukuku ve Adli Yargı"
20218,Elif,Aydın,Yemek,"Moleküler Gastronomi, Kafein Kültürü, Geleneksel Mutfaklar"
20219,Ali,Karaduman,Teknoloji,"Bulut Bilişim ve Büyük Veri, İnternet of Things (IoT), Web Geliştirme"
20220,Ahmet,Demir,Müzik,"Rap, Pop Müzik, Klasik Müzik"
20221,Ayşe,Çelik,Müzik,"Klasik Müzik, Rap, Jazz Müzik"
20222,Yusuf,Çelik,Hukuk,"Medeni Hukuk ve Aile Hukuku, Çevre Hukuku ve Enerji Hukuku, Uluslararası Hukuk ve Diplomasi"
20223,Seda,Demir,Edebiyat,"Bilim Kurgu, Tarih, Biyografi"
20224,Ayşe,Çelik,Spor,"Voleybol, Pilates, Yamaç Paraşütü"
20225,Ali,Şahin,Müzik,"Klasik Müzik, Jazz Müzik, Metal Müzik"
20226,Ali,Demir,Hukuk,"Anayasa Hukuku ve İnsan Hakları, Çevre Hukuku ve Enerji Hukuku, Uluslararası Hukuk ve Diplomasi"
20227,Mehmet,Kılıç,Müzik,"Pop Müzik, Metal Müzik, Rap"
20228,Fatma,Yıldız,Mimar,"Endüstriyel Tasarım, Yeşil Bina ve Sürdürülebilirlik, Parklar"
20229,Ayşe,Demir,Yemek,"Izgara Yemekler, Kafein Kültürü, İtalyan Mutfağı"
20230,Fatma,Şahin,Teknoloji,"Web Geliştirme, Veri Bilimi ve Analitik, Bulut Bilişim ve Büyük Veri"
20231,Elif,Demir,Hukuk,"Ticaret ve Şirket Hukuku, Gayrimenkul ve Emlak Hukuku, Çevre Hukuku ve Enerji Hukuku"
20232,Elif,Şahin,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Ceza Hukuku ve Adli Yargı, Gayrimenkul ve Emlak Hukuku"
20233,Fatma,Yılmaz,Yemek,"Kafein Kültürü, İtalyan Mutfağı, Moleküler Gastronomi"
20234,Mehmet,Öztürk,Edebiyat,"Şiir, Fantastik Kurgu, Felsefe"
20235,Emre,Karaduman,Sanat,"Film Yapımı ve Sinematografi, Resim ve Çizim, Fotoğrafçılık"
20236,Ahmet,Karaduman,Müzik,"Klasik Müzik, Rap, Elektronik Müzik"
20237,Seda,Şahin,Sağlık,"Meditasyon, Psikoloji, Bitkisel Tedaviler"
20238,Yusuf,Aydın,Yemek,"Fransız Mutfağı, İtalyan Mutfağı, Vejetaryen Mutfak"
20239,Seda,Kılıç,Teknoloji,"Mobil Uygulama Geliştirme, Oyun Geliştirme, Otomasyon ve Robotik"
20240,Mehmet,Karaduman,Müzik,"Halk Müziği, Klasik Müzik, Elektronik Müzik"
20241,Ayşe,Öztürk,Yemek,"Izgara Yemekler, Fransız Mutfağı, Kafein Kültürü"
20242,Ali,Kılıç,Teknoloji,"Bulut Bilişim ve Büyük Veri, Siber Güvenlik, Oyun Geliştirme"
20243,Yusuf,Karaduman,Yemek,"Izgara Yemekler, İtalyan Mutfağı, Kafein Kültürü"
20244,Ali,Demir,Yemek,"Kafein Kültürü, Vejetaryen Mutfak, Moleküler Gastronomi"
20245,Seda,Çelik,Sağlık,"Meditasyon, Diyet, Yoga"
20246,Ahmet,Yıldız,Yemek,"İtalyan Mutfağı, Moleküler Gastronomi, Izgara Yemekler"
20247,Mehmet,Demir,Teknoloji,"Siber Güvenlik, Yazılım Geliştirme, Oyun Geliştirme"
20248,Seda,Öztürk,Hukuk,"İş Hukuku ve İşçi Hakları, İdare Hukuku ve Vergilendirme, Uluslararası Hukuk ve Diplomasi"
20249,Ahmet,Demir,Sağlık,"Yoga, Bitkisel Tedaviler, Diyet"
20250,Yusuf,Aydın,Hukuk,"Gayrimenkul ve Emlak Hukuku, Fikri Mülkiyet Hukuku, Uluslararası Hukuk ve Diplomasi"
20251,Elif,Kılıç,Yemek,"Kafein Kültürü, Vejetaryen Mutfak, Fransız Mutfağı"
20252,Ali,Yılmaz,Müzik,"Pop Müzik, Rock Müzik, Jazz Müzik"
20253,Ahmet,Öztürk,Mimar,"Ulaşım ve Altyapı Tasarımı, Peyzaj Tasarımı, Mimari Teori ve Eleştiri"
20254,Yusuf,Aydın,Hukuk,"Gayrimenkul ve Emlak Hukuku, İş Hukuku ve İşçi Hakları, Uluslararası Hukuk ve Diplomasi"
20255,Yusuf,Yıldız,Spor,"Bisiklet, Pilates, Yoga"
20256,Ahmet,Öztürk,Sanat,"Moda Tasarımı, Tiyatro ve Drama, Dans ve Performans Sanatları"
20257,Emre,Şahin,Edebiyat,"Fantastik Kurgu, Çocuk Edebiyatı, Tarih"
